Generation,Average Fitness,Best Fitness,Overall Best Fitness,H/H Bonds,Overlaps
1,0.42,2.00,2.00,2,0
2,0.71,2.00,2.00,2,0
3,1.05,2.00,2.00,2,0
4,1.58,2.00,2.00,2,0
5,1.73,2.00,2.00,2,0
6,1.89,2.00,2.00,2,0
7,1.91,2.00,2.00,2,0
8,1.93,2.00,2.00,2,0
9,1.97,2.00,2.00,2,0
10,2.00,2.00,2.00,2,0
11,2.00,2.00,2.00,2,0
12,2.00,2.00,2.00,2,0
13,2.00,2.00,2.00,2,0
14,2.00,2.00,2.00,2,0
15,2.00,2.00,2.00,2,0
16,2.00,2.00,2.00,2,0
17,2.00,2.00,2.00,2,0
18,2.00,2.00,2.00,2,0
19,2.00,2.00,2.00,2,0
20,2.00,2.00,2.00,2,0
21,2.00,2.00,2.00,2,0
22,2.00,2.00,2.00,2,0
23,2.00,2.00,2.00,2,0
24,2.00,2.00,2.00,2,0
25,2.00,2.00,2.00,2,0
26,2.00,2.00,2.00,2,0
27,2.00,2.00,2.00,2,0
28,2.00,2.00,2.00,2,0
29,2.00,2.00,2.00,2,0
30,2.00,2.00,2.00,2,0
31,2.00,2.00,2.00,2,0
32,2.00,2.00,2.00,2,0
33,2.00,2.00,2.00,2,0
34,2.00,2.00,2.00,2,0
35,2.00,2.00,2.00,2,0
36,2.00,2.00,2.00,2,0
37,2.00,2.00,2.00,2,0
38,2.00,2.00,2.00,2,0
39,2.00,2.00,2.00,2,0
40,2.00,2.00,2.00,2,0
41,2.00,2.00,2.00,2,0
42,2.00,2.00,2.00,2,0
43,2.00,2.00,2.00,2,0
44,2.00,2.00,2.00,2,0
45,2.00,2.00,2.00,2,0
46,2.00,2.00,2.00,2,0
47,2.00,2.00,2.00,2,0
48,2.00,2.00,2.00,2,0
49,2.00,2.00,2.00,2,0
50,2.00,2.00,2.00,2,0
51,2.00,2.00,2.00,2,0
52,2.00,2.00,2.00,2,0
53,2.00,2.00,2.00,2,0
54,2.00,2.00,2.00,2,0
55,2.00,2.00,2.00,2,0
56,2.00,2.00,2.00,2,0
57,2.00,2.00,2.00,2,0
58,2.00,2.00,2.00,2,0
59,2.00,2.00,2.00,2,0
60,2.00,2.00,2.00,2,0
61,2.00,2.00,2.00,2,0
62,2.00,2.00,2.00,2,0
63,2.00,2.00,2.00,2,0
64,2.00,2.00,2.00,2,0
65,2.00,2.00,2.00,2,0
66,2.00,2.00,2.00,2,0
67,2.00,2.00,2.00,2,0
68,2.00,2.00,2.00,2,0
69,2.00,2.00,2.00,2,0
70,2.00,2.00,2.00,2,0
71,2.00,2.00,2.00,2,0
72,2.00,2.00,2.00,2,0
73,2.00,2.00,2.00,2,0
74,2.00,2.00,2.00,2,0
75,2.00,2.00,2.00,2,0
76,2.00,2.00,2.00,2,0
77,2.00,2.00,2.00,2,0
78,2.00,2.00,2.00,2,0
79,2.00,2.00,2.00,2,0
80,2.00,2.00,2.00,2,0
81,2.00,2.00,2.00,2,0
82,2.00,2.00,2.00,2,0
83,2.00,2.00,2.00,2,0
84,2.00,2.00,2.00,2,0
85,2.00,2.00,2.00,2,0
86,2.00,2.00,2.00,2,0
87,2.00,2.00,2.00,2,0
88,2.00,2.00,2.00,2,0
89,2.00,2.00,2.00,2,0
90,2.00,2.00,2.00,2,0
91,2.00,2.00,2.00,2,0
92,2.00,2.00,2.00,2,0
93,2.00,2.00,2.00,2,0
94,2.00,2.00,2.00,2,0
95,2.00,2.00,2.00,2,0
96,2.00,2.00,2.00,2,0
97,2.00,2.00,2.00,2,0
98,2.00,2.00,2.00,2,0
99,2.00,2.00,2.00,2,0
100,2.00,2.00,2.00,2,0
